date,high,low,open,close,volume,quoteVolume,weightedAverage
1446422400,370.02602501,320.366901,326.744471,369.02958148,10188.31647562,28.73601239,354.54872225
1446508800,424.0,355.87499999,366.1,400.0,28008.4737616,72.386865,386.92756982
1446595200,477.0,359.48965566,399.99,393.0,50090.55955153,117.31877368,426.96115873
1446681600,416.05800073,366.71097058,393.0,383.09999996,22723.78031612,57.94694772,392.14801141
1446768000,398.88888888,350.0,382.50000001,379.0,15753.9061563,42.55701272,370.18355258
1446854400,397.3333333,367.30009891,367.30009891,390.99999994,14135.54767876,36.73375642,384.81084039
1446940800,389.35,369.0,384.500001,371.00000001,3371.05062955,8.94422439,376.89692057
1447027200,387.9099995,362.99999999,371.00006667,384.55,11796.61678413,31.78925921,371.08813093
1447113600,385.63229092,327.70000002,382.51554957,335.20014911,13633.17558794,38.91769851,350.3078576
1447200000,341.0,303.33311004,335.20014905,313.13,24073.00331861,75.26690236,319.83518072
1447286400,343.29180826,308.99607256,313.13,339.0,8966.00556231,27.03850585,331.60136924
1447372800,343.10639329,325.00000001,339.0,339.01194,6071.59637035,18.08778244,335.67389427
1447459200,340.19,332.2,336.99999899,340.19,3876.89106148,11.4820363,337.6483892
1447545600,341.1,318.0,340.18999999,318.0,27998.28341889,85.79890782,326.32447347
1447632000,336.00400001,318.0,318.0,332.0,3587.00092425,10.82634888,331.32138674
1447718400,340.0,331.0,334.99999222,334.01010403,5314.08033778,15.80354243,336.25880787
1447804800,341.77699995,334.0,338.49998933,336.31001221,3288.34249066,9.80994979,335.20482378
1447891200,337.89998789,320.10000001,336.31001223,328.999999,5716.69682478,17.2874816,330.68418853
1447977600,332.95,317.99999999,332.949999,327.50000001,5201.18951038,16.13166013,322.42121818
1448064000,335.34000003,323.0,323.49999999,328.79999999,4224.14769499,12.86766664,328.27612131
1448150400,334.68999999,323.1,325.5000414,331.9,3956.72574788,11.96320857,330.74118241
1448236800,334.69,324.00004591,328.75,325.47,415.49691086,1.25672713,330.61823919
1448323200,329.99,321.0,329.99,321.0,5114.09038296,15.77186789,324.25394497
1448409600,329.0,318.10010001,327.9998999,326.99,4363.41308284,13.33573488,327.19704779
1448496000,366.95586085,326.99047556,328.989999,355.10127219,12795.53470417,37.19067652,344.05221688
1448582400,378.888888,349.00000605,355.10130018,361.99995456,5368.60568671,14.7870852,363.06044187
1448668800,364.0,354.00000001,361.99995456,356.0,8422.3282943,23.57980011,357.18404121
1448755200,378.888888,356.50014836,357.100001,375.00000004,2090.20380147,5.68108327,367.92345792
1448841600,385.00000001,371.99999999,375.0,379.49999999,4270.35881246,11.27324131,378.80487918
1448928000,379.39999999,355.0,379.39999999,364.0,6039.86433605,16.3985129,368.31780862
1449014400,366.36659,353.525125,356.450002,365.65493181,3623.81496124,10.15577701,356.8230139
1449100800,375.0,356.00000801,365.46090835,366.99999998,2682.53387575,7.39747862,362.62813501
1449187200,366.0,355.12278158,364.99999941,365.51,4006.18956686,11.14497171,359.4616183
1449273600,392.265,360.12706417,365.49,380.45053057,14923.9584081,39.76082827,375.34324754
1449360000,400.00000001,380.99663008,389.99999944,390.30007076,9688.91212093,24.53737778,394.86338792
1449446400,403.00000001,388.00009037,397.99999989,394.20032806,6553.67471525,16.49481465,397.31726935
1449532800,418.5542986,392.20000001,398.5,418.5542986,8458.64850158,20.93096423,404.12130127
1449619200,428.99999997,404.48417735,413.00000018,421.9999999,14490.17812562,34.80317519,416.34644099
1449705600,425.17679999,410.000021,420.51425536,425.17679999,5793.98207009,13.94814491,415.39445621
1449792000,456.65800001,418.63267478,420.00000027,452.70000009,22657.15254636,51.39556954,440.8386316
1449878400,468.0,405.66284539,445.79596711,430.15422975,24374.04001909,56.7266941,429.67496001
1449964800,444.99999993,423.25,427.86722266,433.00000202,8316.76869106,19.03911014,436.82549393
1450051200,449.49498,431.00007782,433.04088808,443.09999999,4180.87865293,9.45545849,442.16561865
1450137600,465.15045069,442.99999993,443.00000009,465.15045061,15161.60372743,33.24111974,456.1098978
1450224000,468.49999999,445.0,465.15045049,453.000001,10825.19994283,23.86513323,453.5989738
1450310400,457.9999,451.0,455.99999999,453.500001,1346.45368139,2.97226988,453.00518989
1450396800,465.0,453.000001,453.500001,460.0,5049.65580533,11.03898949,457.43822927
1450483200,466.929,452.130001,458.000001,460.0,11513.43735268,25.09808869,458.73761523
1450569600,460.0,431.01,456.81643452,438.10101011,11042.25379025,24.83811931,444.568836
1450656000,443.0999999,426.0,443.09925,439.7999,11583.495905,26.59737045,435.51282359
1450742400,439.83131689,432.2589971,432.2589971,434.84381765,6790.83811122,15.54342014,436.89471493
1450828800,446.0,434.0,434.00000001,445.67999996,2590.72813707,5.90406712,438.80397773
1450915200,464.88566999,441.52188074,445.67999,453.06292574,5436.33844866,11.97441975,453.99598161
1451001600,459.39999999,450.0,453.0630166,455.0,1783.49667733,3.93842543,452.84510498
1451088000,460.999999,409.000166,455.99999989,418.53822857,11361.05410045,26.53301699,428.18553595
1451174400,429.68242294,412.32,420.95017872,421.24000002,5994.61615054,14.22446219,421.4300738
1451260800,431.69037499,417.00000001,423.08,423.59556697,3195.21888091,7.56572535,422.32816195
